data,valor
2024-12-20,6.0774
2024-12-23,6.1606
2024-12-24,6.1527
2024-12-26,6.165
2024-12-27,6.1985
2024-12-30,6.1917
2024-12-31,6.1917
2025-01-02,6.208
2025-01-03,6.1557
2025-01-06,6.1113
2025-01-07,6.0735
2025-01-08,6.1315
2025-01-09,6.089
2025-01-10,6.0959
2025-01-13,6.1073
2025-01-14,6.0665
2025-01-15,6.0371
2025-01-16,6.0316
2025-01-17,6.0603
2025-01-20,6.0492
2025-01-21,6.0434
2025-01-22,5.9668
2025-01-23,5.9393
2025-01-24,5.8919
2025-01-27,5.9266
2025-01-28,5.8924
2025-01-29,5.859
2025-01-30,5.9
2025-01-31,5.8295
2025-02-03,5.8681
2025-02-04,5.7921
2025-02-05,5.7991
2025-02-06,5.785
2025-02-07,5.7551
2025-02-10,5.7802
2025-02-11,5.7782
2025-02-12,5.7705
2025-02-13,5.7782
2025-02-14,5.7277
2025-02-17,5.7099
2025-02-18,5.6973
2025-02-19,5.7081
2025-02-20,5.7013
2025-02-21,5.7021
2025-02-24,5.7252
2025-02-25,5.7773
2025-02-26,5.7751
2025-02-27,5.8222
2025-02-28,5.8482
2025-03-05,5.7908
2025-03-06,5.7483
2025-03-07,5.7682
2025-03-10,5.7924
2025-03-11,5.8341
2025-03-12,5.8262
2025-03-13,5.8125
2025-03-14,5.7413
2025-03-17,5.7076
2025-03-18,5.6846
2025-03-19,5.6651
2025-03-20,5.6622
2025-03-21,5.7235
2025-03-24,5.7397
2025-03-25,5.6986
2025-03-26,5.7292
2025-03-27,5.7468
2025-03-28,5.7654
2025-03-31,5.7416
2025-04-01,5.7045
2025-04-02,5.6918
2025-04-03,5.6062
2025-04-04,5.7771
2025-04-07,5.8871
2025-04-08,5.9362
2025-04-09,6.0599
2025-04-10,5.9109
2025-04-11,5.8731
2025-04-14,5.8419
2025-04-15,5.8701
2025-04-16,5.8802
2025-04-17,5.8553
2025-04-22,5.749
2025-04-23,5.6874
2025-04-24,5.6732
2025-04-25,5.684
2025-04-28,5.6675
2025-04-29,5.6461
2025-04-30,5.6602
2025-05-02,5.6388
2025-05-05,5.6514
2025-05-06,5.7204
2025-05-07,5.7368
2025-05-08,5.6854
2025-05-09,5.6505
2025-05-12,5.6816
2025-05-13,5.6256
2025-05-14,5.6094
2025-05-15,5.6322
2025-05-16,5.6919
2025-05-19,5.6585
2025-05-20,5.6614
2025-05-21,5.6565
2025-05-22,5.6384
2025-05-23,5.6926
2025-05-26,5.6613
2025-05-27,5.6533
2025-05-28,5.693
2025-05-29,5.6553
2025-05-30,5.7081
2025-06-02,5.6931
2025-06-03,5.6688
2025-06-04,5.6326
2025-06-05,5.5963
2025-06-06,5.5941
2025-06-09,5.5754
2025-06-10,5.5551
2025-06-11,5.5384
2025-06-12,5.5382
2025-06-13,5.5646
2025-06-16,5.5117
2025-06-17,5.4767
2025-06-18,5.4873
2025-06-20,5.4951
2025-06-23,5.5207
2025-06-24,5.4932
2025-06-25,5.5421
2025-06-26,5.5139
2025-06-27,5.4753
2025-06-30,5.4565
2025-07-01,5.4505
2025-07-02,5.4506
2025-07-03,5.4202
2025-07-04,5.4084
2025-07-07,5.4546
2025-07-08,5.4565
2025-07-09,5.462
2025-07-10,5.5427
2025-07-11,5.5716
2025-07-14,5.5589
2025-07-15,5.5569
2025-07-16,5.5716
2025-07-17,5.5731
2025-07-18,5.546
2025-07-21,5.5619
2025-07-22,5.5703
2025-07-23,5.5531
2025-07-24,5.5233
2025-07-25,5.542
2025-07-28,5.5871
2025-07-29,5.5758
2025-07-30,5.6028
2025-07-31,5.6015
2025-08-01,5.543
2025-08-04,5.5107
2025-08-05,5.5113
2025-08-06,5.4796
2025-08-07,5.4632
2025-08-08,5.4248
2025-08-11,5.4467
2025-08-12,5.4046
2025-08-13,5.3922
2025-08-14,5.4089
2025-08-15,5.3922
2025-08-18,5.4149
2025-08-19,5.471
2025-08-20,5.472
2025-08-21,5.4822
2025-08-22,5.4386
2025-08-25,5.4168
2025-08-26,5.4212
2025-08-27,5.4422
2025-08-28,5.4109
2025-08-29,5.4258
2025-09-01,5.4372
2025-09-02,5.4674
2025-09-03,5.4479
2025-09-04,5.4581
2025-09-05,5.3962
2025-09-08,5.4272
2025-09-09,5.4272
2025-09-10,5.4117
2025-09-11,5.3852
2025-09-12,5.3671
2025-09-15,5.3202
2025-09-16,5.309
2025-09-17,5.3005
2025-09-18,5.3004
2025-09-19,5.327
2025-09-22,5.3451
2025-09-23,5.3057
2025-09-24,5.3106
2025-09-25,5.3419
2025-09-26,5.3439
2025-09-29,5.3223
2025-09-30,5.318
2025-10-01,5.3202
2025-10-02,5.3443
2025-10-03,5.3492
2025-10-06,5.322
2025-10-07,5.3357
2025-10-08,5.3421
2025-10-09,5.3532
2025-10-10,5.444
2025-10-13,5.4623
2025-10-14,5.4976
2025-10-15,5.4458
2025-10-16,5.4348
2025-10-17,5.4384
2025-10-20,5.3765
2025-10-21,5.3842
2025-10-22,5.3892
2025-10-23,5.3834
2025-10-24,5.3791
2025-10-27,5.3738
2025-10-28,5.3684
2025-10-29,5.341
2025-10-30,5.3844
2025-10-31,5.3837
2025-11-03,5.3499
2025-11-04,5.384
2025-11-05,5.3792
2025-11-06,5.3445
2025-11-07,5.3561
2025-11-10,5.3175
2025-11-11,5.2723
2025-11-12,5.2879
2025-11-13,5.2814
2025-11-14,5.2946
2025-11-17,5.3102
2025-11-18,5.3355
2025-11-19,5.334
2025-11-21,5.3896
2025-11-24,5.3942
2025-11-25,5.3835
2025-11-26,5.3688
2025-11-27,5.3484
2025-11-28,5.3332
