sigla,nome,mes_ref,data_divulgacao,pontos,delta_pts,url,titulo
ICC,Confiança do Consumidor (ICC),2011-07,,108.8,4.099999999999994,,
ICC,Confiança do Consumidor (ICC),2011-08,,104.0,-4.799999999999997,,
ICC,Confiança do Consumidor (ICC),2011-09,,100.1,-3.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2011-10,,103.4,3.3000000000000114,,
ICC,Confiança do Consumidor (ICC),2011-11,,105.7,2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2011-12,,107.0,1.2999999999999972,,
ICC,Confiança do Consumidor (ICC),2012-01,,103.6,-3.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-02,,106.8,3.200000000000003,,
ICC,Confiança do Consumidor (ICC),2012-03,,109.8,3.0,,
ICC,Confiança do Consumidor (ICC),2012-04,,113.2,3.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-05,,112.4,-0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2012-06,,109.6,-2.8000000000000114,,
ICC,Confiança do Consumidor (ICC),2012-07,,108.0,-1.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2012-08,,106.6,-1.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-09,,107.1,0.5,,
ICC,Confiança do Consumidor (ICC),2012-10,,108.0,0.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-11,,106.6,-1.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2012-12,,105.6,-1.0,,
ICC,Confiança do Consumidor (ICC),2013-01,,106.3,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2013-02,,105.2,-1.0999999999999943,,
ICC,Confiança do Consumidor (ICC),2013-03,,102.3,-2.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2013-04,,103.2,0.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2013-05,,102.8,-0.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2013-06,,102.3,-0.5,,
ICC,Confiança do Consumidor (ICC),2013-07,,99.2,-3.0999999999999943,,
ICC,Confiança do Consumidor (ICC),2013-08,,101.5,2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2013-09,,101.9,0.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2013-10,,101.1,-0.8000000000000114,,
ICC,Confiança do Consumidor (ICC),2013-11,,102.2,1.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2013-12,,100.6,-1.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2014-01,,98.8,-1.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2014-02,,96.9,-1.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2014-03,,97.5,0.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2014-04,,96.3,-1.2000000000000028,,
ICC,Confiança do Consumidor (ICC),2014-05,,92.5,-3.799999999999997,,
ICC,Confiança do Consumidor (ICC),2014-06,,93.2,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2014-07,,94.3,1.0999999999999943,,
ICC,Confiança do Consumidor (ICC),2014-08,,91.4,-2.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2014-09,,92.1,0.6999999999999886,,
ICC,Confiança do Consumidor (ICC),2014-10,,91.4,-0.6999999999999886,,
ICC,Confiança do Consumidor (ICC),2014-11,,86.0,-5.400000000000006,,
ICC,Confiança do Consumidor (ICC),2014-12,,86.5,0.5,,
ICC,Confiança do Consumidor (ICC),2015-01,,80.4,-6.099999999999994,,
ICC,Confiança do Consumidor (ICC),2015-02,,76.6,-3.8000000000000114,,
ICC,Confiança do Consumidor (ICC),2015-03,,74.3,-2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2015-04,,75.6,1.2999999999999972,,
ICC,Confiança do Consumidor (ICC),2015-05,,75.1,-0.5,,
ICC,Confiança do Consumidor (ICC),2015-06,,73.8,-1.2999999999999972,,
ICC,Confiança do Consumidor (ICC),2015-07,,70.6,-3.200000000000003,,
ICC,Confiança do Consumidor (ICC),2015-08,,69.2,-1.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2015-09,,64.3,-4.900000000000006,,
ICC,Confiança do Consumidor (ICC),2015-10,,65.1,0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2015-11,,66.0,0.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2015-12,,64.6,-1.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2016-01,,65.3,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2016-02,,68.3,3.0,,
ICC,Confiança do Consumidor (ICC),2016-03,,66.1,-2.200000000000003,,
ICC,Confiança do Consumidor (ICC),2016-04,,65.7,-0.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2016-05,,70.5,4.799999999999997,,
ICC,Confiança do Consumidor (ICC),2016-06,,72.9,2.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2016-07,,76.4,3.5,,
ICC,Confiança do Consumidor (ICC),2016-08,,78.4,2.0,,
ICC,Confiança do Consumidor (ICC),2016-09,,79.2,0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2016-10,,80.5,1.2999999999999972,,
ICC,Confiança do Consumidor (ICC),2016-11,,78.2,-2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2016-12,,73.9,-4.299999999999997,,
ICC,Confiança do Consumidor (ICC),2017-01,,78.4,4.5,,
ICC,Confiança do Consumidor (ICC),2017-02,,80.9,2.5,,
ICC,Confiança do Consumidor (ICC),2017-03,,83.8,2.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2017-04,,82.2,-1.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2017-05,,84.1,1.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2017-06,,82.9,-1.1999999999999886,,
ICC,Confiança do Consumidor (ICC),2017-07,,82.5,-0.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2017-08,,81.5,-1.0,,
ICC,Confiança do Consumidor (ICC),2017-09,,83.5,2.0,,
ICC,Confiança do Consumidor (ICC),2017-10,,85.7,2.200000000000003,,
ICC,Confiança do Consumidor (ICC),2017-11,,87.1,1.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2017-12,,87.1,0.0,,
ICC,Confiança do Consumidor (ICC),2018-01,,87.8,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2018-02,,88.0,0.20000000000000284,,
ICC,Confiança do Consumidor (ICC),2018-03,,91.0,3.0,,
ICC,Confiança do Consumidor (ICC),2018-04,,89.1,-1.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2018-05,,88.3,-0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2018-06,,83.8,-4.5,,
ICC,Confiança do Consumidor (ICC),2018-07,,85.1,1.2999999999999972,,
ICC,Confiança do Consumidor (ICC),2018-08,,84.5,-0.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2018-09,,82.9,-1.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2018-10,,85.5,2.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2018-11,,93.0,7.5,,
ICC,Confiança do Consumidor (ICC),2018-12,,92.8,-0.20000000000000284,,
ICC,Confiança do Consumidor (ICC),2019-01,,95.7,2.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2019-02,,94.6,-1.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2019-03,,91.7,-2.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2019-04,,89.8,-1.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2019-05,,86.0,-3.799999999999997,,
ICC,Confiança do Consumidor (ICC),2019-06,,88.0,2.0,,
ICC,Confiança do Consumidor (ICC),2019-07,,88.7,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2019-08,,90.1,1.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2019-09,,89.2,-0.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2019-10,,89.4,0.20000000000000284,,
ICC,Confiança do Consumidor (ICC),2019-11,,89.4,0.0,,
ICC,Confiança do Consumidor (ICC),2019-12,,91.3,1.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2020-01,,90.6,-0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2020-02,,88.5,-2.0999999999999943,,
ICC,Confiança do Consumidor (ICC),2020-03,,80.1,-8.400000000000006,,
ICC,Confiança do Consumidor (ICC),2020-04,,58.1,-21.999999999999993,,
ICC,Confiança do Consumidor (ICC),2020-05,,62.1,4.0,,
ICC,Confiança do Consumidor (ICC),2020-06,,70.9,8.800000000000004,,
ICC,Confiança do Consumidor (ICC),2020-07,,78.7,7.799999999999997,,
ICC,Confiança do Consumidor (ICC),2020-08,,79.7,1.0,,
ICC,Confiança do Consumidor (ICC),2020-09,,82.5,2.799999999999997,,
ICC,Confiança do Consumidor (ICC),2020-10,,82.2,-0.29999999999999716,,
ICC,Confiança do Consumidor (ICC),2020-11,,81.7,-0.5,,
ICC,Confiança do Consumidor (ICC),2020-12,,78.4,-3.299999999999997,,
ICC,Confiança do Consumidor (ICC),2021-01,,75.9,-2.5,,
ICC,Confiança do Consumidor (ICC),2021-02,,78.2,2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2021-03,,68.4,-9.799999999999997,,
ICC,Confiança do Consumidor (ICC),2021-04,,72.4,4.0,,
ICC,Confiança do Consumidor (ICC),2021-05,,76.3,3.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2021-06,,80.7,4.400000000000006,,
ICC,Confiança do Consumidor (ICC),2021-07,,82.3,1.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2021-08,,80.7,-1.5999999999999943,,
ICC,Confiança do Consumidor (ICC),2021-09,,74.1,-6.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2021-10,,75.8,1.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2021-11,,74.5,-1.2999999999999972,,
ICC,Confiança do Consumidor (ICC),2021-12,,76.0,1.5,,
ICC,Confiança do Consumidor (ICC),2022-01,,74.8,-1.2000000000000028,,
ICC,Confiança do Consumidor (ICC),2022-02,,77.9,3.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2022-03,,75.5,-2.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2022-04,,78.8,3.299999999999997,,
ICC,Confiança do Consumidor (ICC),2022-05,,76.3,-2.5,,
ICC,Confiança do Consumidor (ICC),2022-06,,78.9,2.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2022-07,,79.7,0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2022-08,,82.1,2.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2022-09,,86.9,4.800000000000011,,
ICC,Confiança do Consumidor (ICC),2022-10,,87.4,0.5,,
ICC,Confiança do Consumidor (ICC),2022-11,,84.1,-3.3000000000000114,,
ICC,Confiança do Consumidor (ICC),2022-12,,87.8,3.700000000000003,,
ICC,Confiança do Consumidor (ICC),2023-01,,86.9,-0.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2023-02,,85.7,-1.2000000000000028,,
ICC,Confiança do Consumidor (ICC),2023-03,,88.0,2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2023-04,,87.5,-0.5,,
ICC,Confiança do Consumidor (ICC),2023-05,,89.8,2.299999999999997,,
ICC,Confiança do Consumidor (ICC),2023-06,,91.7,1.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2023-07,,94.1,2.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2023-08,,94.8,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2023-09,,94.6,-0.20000000000000284,,
ICC,Confiança do Consumidor (ICC),2023-10,,92.4,-2.1999999999999886,,
ICC,Confiança do Consumidor (ICC),2023-11,,91.4,-1.0,,
ICC,Confiança do Consumidor (ICC),2023-12,,92.8,1.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2024-01,,90.9,-1.8999999999999915,,
ICC,Confiança do Consumidor (ICC),2024-02,,89.5,-1.4000000000000057,,
ICC,Confiança do Consumidor (ICC),2024-03,,91.6,2.0999999999999943,,
ICC,Confiança do Consumidor (ICC),2024-04,,93.7,2.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2024-05,,90.6,-3.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2024-06,,91.9,1.3000000000000114,,
ICC,Confiança do Consumidor (ICC),2024-07,,93.3,1.3999999999999915,,
ICC,Confiança do Consumidor (ICC),2024-08,,93.3,0.0,,
ICC,Confiança do Consumidor (ICC),2024-09,,93.5,0.20000000000000284,,
ICC,Confiança do Consumidor (ICC),2024-10,,92.8,-0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2024-11,,94.4,1.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2024-12,,91.3,-3.1000000000000085,,
ICC,Confiança do Consumidor (ICC),2025-01,,86.2,-5.099999999999994,,
ICC,Confiança do Consumidor (ICC),2025-02,,83.6,-2.6000000000000085,,
ICC,Confiança do Consumidor (ICC),2025-03,,84.3,0.7000000000000028,,
ICC,Confiança do Consumidor (ICC),2025-04,,84.8,0.5,,
ICC,Confiança do Consumidor (ICC),2025-05,,86.7,1.9000000000000057,,
ICC,Confiança do Consumidor (ICC),2025-06,,85.9,-0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2025-07,,86.7,0.7999999999999972,,
ICC,Confiança do Consumidor (ICC),2025-08,,86.2,-0.5,,
ICC,Confiança do Consumidor (ICC),2025-09,,87.5,1.2999999999999972,,
ICC,Confiança do Consumidor (ICC),2025-10,,88.5,1.0,,
ICC,Confiança do Consumidor (ICC),2025-11,,89.8,1.2999999999999972,,
ICE,Confiança Empresarial (ICE),2001-01,,104.8,,,
ICE,Confiança Empresarial (ICE),2001-02,,103.6,-1.2000000000000028,,
ICE,Confiança Empresarial (ICE),2001-03,,103.3,-0.29999999999999716,,
ICE,Confiança Empresarial (ICE),2001-04,,102.1,-1.2000000000000028,,
ICE,Confiança Empresarial (ICE),2001-05,,101.1,-1.0,,
ICE,Confiança Empresarial (ICE),2001-06,,98.9,-2.1999999999999886,,
ICE,Confiança Empresarial (ICE),2001-07,,96.4,-2.5,,
ICE,Confiança Empresarial (ICE),2001-08,,93.9,-2.5,,
ICE,Confiança Empresarial (ICE),2001-09,,90.7,-3.200000000000003,,
ICE,Confiança Empresarial (ICE),2001-10,,88.3,-2.4000000000000057,,
ICE,Confiança Empresarial (ICE),2001-11,,91.9,3.6000000000000085,,
ICE,Confiança Empresarial (ICE),2001-12,,94.6,2.6999999999999886,,
ICE,Confiança Empresarial (ICE),2002-01,,97.6,3.0,,
