Data;ICE Com Ajuste Sazonal - Índice de Confiança Empresarial (CNAE 2.0)(1428467);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212)
10/2019;96,000;93,600;97,100;87,600;89,400;95,100
11/2019;97,400;96,000;97,500;88,900;89,400;97,600
12/2019;98,400;97,400;97,000;91,100;91,300;100,000
01/2020;98,500;97,500;99,600;93,800;90,600;101,300
02/2020;98,200;95,900;100,900;92,200;88,500;101,300
03/2020;88,900;83,500;88,500;91,100;80,100;98,100
04/2020;53,000;50,900;62,500;64,800;58,100;58,500
05/2020;59,800;60,100;67,200;68,200;62,100;61,600
06/2020;74,900;70,800;82,200;77,300;70,900;77,000
07/2020;83,200;77,500;84,500;83,600;78,700;89,100
08/2020;91,200;83,200;94,500;87,500;79,700;98,200
09/2020;95,700;86,400;97,300;90,800;82,500;106,200
10/2020;98,300;87,000;94,600;94,700;82,200;111,400
11/2020;97,700;86,100;94,800;93,700;81,700;114,200
12/2020;97,700;87,900;93,900;93,600;78,400;115,300
01/2021;95,400;87,200;94,200;92,800;75,900;111,500
02/2021;93,700;85,400;94,100;92,000;78,200;108,500
03/2021;86,800;78,900;73,800;89,200;68,400;104,800
04/2021;89,400;81,700;85,300;84,600;72,400;103,400
05/2021;93,700;87,100;92,700;87,400;76,300;104,100
06/2021;97,300;92,100;91,900;92,300;80,700;107,000
07/2021;100,800;95,600;98,000;95,600;82,300;107,600
08/2021;101,700;97,000;97,900;96,000;80,700;106,500
09/2021;98,400;95,100;90,500;95,300;74,100;105,900
10/2021;100,200;98,000;92,500;95,300;75,800;105,000
11/2021;98,500;97,500;89,700;95,500;74,500;102,900
12/2021;97,000;98,100;88,400;96,900;76,000;100,600
01/2022;93,300;93,700;89,800;93,700;74,800;98,900
02/2022;92,000;92,600;91,500;94,400;77,900;97,300
03/2022;92,500;93,800;89,000;93,500;75,500;95,700
04/2022;94,800;96,300;87,900;97,300;78,800;97,200
05/2022;96,800;97,400;92,000;96,900;76,300;99,600
06/2022;98,000;96,800;93,000;97,700;78,900;100,500
07/2022;98,100;98,000;91,500;96,600;79,700;98,800
08/2022;100,300;98,000;95,300;97,600;82,100;99,900
09/2022;100,100;99,000;97,500;99,900;86,900;99,100
